subID	Model	randi	Mp0	delta0	wp0	scl0	Mp	delta	wp	scl	detla2	nll	nllsd	success	iterations
22071401.000000	5.000000	13.000000	62.011799	0.116618	0.281093	1.951565	-0.018732	0.033203	-0.273535	0.000000	3.304688	0.700000	258.836659	0.061650	2.000000	14.000000
22071401.000000	5.000000	33.000000	63.052793	0.085305	0.274996	1.649816	-0.018823	0.009033	-0.523511	0.000000	2.698242	1.099170	255.474533	0.057935	2.000000	15.000000
22071401.000000	5.000000	26.000000	12.023204	-0.177115	0.597014	0.431773	0.038670	0.033203	0.392676	0.085449	1.504883	0.555273	248.961767	0.067050	2.000000	16.000000
22071401.000000	5.000000	1.000000	14.350950	0.204631	1.302189	1.066329	-0.131021	0.000000	-0.315264	0.000000	2.074610	0.425894	272.982474	0.042768	2.000000	15.000000
22071401.000000	5.000000	2.000000	64.196253	0.111678	0.195693	1.301747	-0.018900	0.000160	-0.259485	0.000000	3.999998	0.386251	262.703061	0.051358	1.000000	20.000000
22071401.000000	5.000000	36.000000	37.699981	-0.089803	0.390012	0.969058	-0.082020	0.532369	-0.919447	0.000704	1.861394	0.355565	271.610101	0.037549	2.000000	16.000000
22071401.000000	5.000000	22.000000	99.081984	0.056753	0.984328	1.470043	-0.021930	0.748414	-0.778970	0.000000	1.679792	0.549537	271.523172	0.035654	2.000000	19.000000
22071401.000000	5.000000	7.000000	86.225074	0.215445	1.223449	0.186823	0.294094	3.093908	-0.141275	0.000347	0.820469	0.603259	259.468647	0.021891	2.000000	18.000000
22071401.000000	5.000000	23.000000	5.144580	-0.167597	0.861054	1.461980	0.301991	0.027238	-0.999999	0.000000	3.944233	0.479602	262.977129	0.046901	1.000000	22.000000
22071401.000000	5.000000	24.000000	37.761855	0.393542	1.206000	0.077478	0.261903	0.012056	-0.141286	0.000000	1.766960	1.650587	252.126742	0.926478	2.000000	19.000000
22071401.000000	5.000000	31.000000	53.960844	-0.097385	0.806686	0.615214	-0.082432	0.125254	1.868797	0.000000	3.087684	0.943658	257.993679	0.042954	1.000000	21.000000
22071401.000000	5.000000	18.000000	61.581261	0.356872	0.258412	0.423786	0.154727	1.724958	-0.205560	0.060497	1.054712	-0.185212	256.298511	0.051310	1.000000	22.000000
22071401.000000	5.000000	8.000000	81.434650	0.050511	0.576408	1.405659	0.207156	0.000158	0.821379	0.062514	1.414074	0.791711	247.852816	0.108284	1.000000	25.000000
22071401.000000	5.000000	9.000000	22.781782	0.174688	0.248357	1.125121	0.244030	2.080601	-0.057270	0.000173	0.324049	-0.837874	251.329298	0.059094	1.000000	21.000000
