subID	modeli	name	Mp	delta	wp	scl	delta2	nll	nllsd	success	iterations
22071901	4	dnDNM	4.68874650089782	-0.252476598559474	9.86712441886084e-06	2.10652037248548	NaN	185.76205470734	0.142044975452043	1	40
22071901	5	dnDNMExtened	5.45181223750114	-0.419027847051621	6.75082206725852e-05	1.33359062671661	1.03974581360817	183.601492202009	0.0763932363720694	2	41
22071902	1	McFadden	21.109375	-0.124066162109375	NaN	NaN	NaN	352.55282793218	0.0341861882254094	2	13
22071902	2	dnLinear	19.8630130887032	-0.0992172479629517	NaN	0.010252058506012	NaN	352.596687621541	0.0304974092454401	1	23
22071902	3	DNM	20.5519561767578	-0.0873626708984375	0	NaN	NaN	352.678961555123	0.0296081518702139	2	11
22071902	4	dnDNM	19.844934533241	-0.096475507869036	1.71973009855941e-05	4.36842819908634e-05	NaN	352.619832130789	0.0319369934603001	2	20
22071902	5	dnDNMExtened	20.7727618799545	-0.150348152313381	0	0	-0.137940953299403	352.6336654757	0.0281752749233754	1	29
22071903	1	McFadden	423.767895830795	-0.217178303748369	NaN	NaN	NaN	395.4426549742	0.0326791561512223	2	18
22071903	2	dnLinear	535.938529968262	-0.040205717086792	NaN	0	NaN	395.450302983764	0.0356393298789323	1	27
22071903	3	DNM	9.31322574615479e-10	-0.0411591169424355	0.976747451815754	NaN	NaN	369.857664217655	0.0226688583270473	2	17
22071903	4	dnDNM	9.31322574615479e-10	-0.0931703511392698	1.02439099343028	0.307880331296474	NaN	369.580766050066	0.0320943272137296	2	25
22071903	5	dnDNMExtened	4.88758087158203e-06	-0.117020606994629	1.0468181848526	0.383586168289185	-0.999999952316284	369.368196813864	0.0377793144298484	2	22
22071904	1	McFadden	61.1739473342896	0.556131744384766	NaN	NaN	NaN	374.325840519029	0.0273031713312914	2	14
22071904	2	dnLinear	54.0987347457233	0.510219602995426	NaN	4	NaN	370.809234036622	0.0300174592271576	1	24
22071904	3	DNM	9.31322574615479e-08	0.484221201017499	0.409847057238221	NaN	NaN	367.409285043661	0.0259314151255471	2	18
